id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_2023,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,last_review_date,price_2023_quant
53742808,Unique private room 10min to Midtown with fire-pit,435273167,Katherine,Queens,Long Island City,40.75387,-73.93364,Private room,85,1,14,2023-01-17,0.95,1,185,12,,2023-01-17,0.2594446493492808
53742866,Best Room in Manhattan,435273407,Barbara,Manhattan,East Harlem,40.78884,-73.94152,Private room,121,1,29,2022-11-14,1.96,3,266,25,,2022-11-14,0.45956056694241004
53675152,BRAND NEW STUDIO in Sheepshead Bay Area,120158738,Brian,Brooklyn,Sheepshead Bay,40.59995,-73.94402,Entire home/apt,138,2,22,2023-02-01,1.47,1,359,20,,2023-02-01,0.5338005163601875
53676368,Private retreat on a quiet block,224047081,Alexander,Brooklyn,Sea Gate,40.57413,-74.00925,Private room,80,4,12,2022-12-10,0.81,14,167,11,,2022-12-10,0.23278360292955372
53704772,Lovely 2 bedroom in the heart on NYC,258057196,Linda,Manhattan,Hell's Kitchen,40.75973,-73.99494,Entire home/apt,448,2,67,2023-02-15,4.44,2,9,57,,2023-02-15,0.9587965646240582
53743242,Luxury Elegant Modern Designed Home,23913784,Michael & Sandy,Brooklyn,Bedford-Stuyvesant,40.68369,-73.95832,Entire home/apt,412,2,63,2023-02-24,4.33,2,87,56,,2023-02-24,0.9541598608988883
53704780,Charming studio in the heart of Chelsea,266380288,Rachel,Manhattan,Chelsea,40.74166,-74.00587,Entire home/apt,213,30,4,2023-01-02,0.35,4,35,4,,2023-01-02,0.7751198693292587
53706813,Cheerful 1 - bedroom near LGA,242322561,Rosy,Queens,East Elmhurst,40.76532,-73.86881,Private room,60,1,133,2023-02-28,8.83,13,77,115,,2023-02-28,0.12218768112123926
53774579,Cozy and Chic Private Bedroom!,32757167,Sandra,Brooklyn,Sunset Park,40.665882,-73.994652,Private room,84,4,15,2022-11-17,1.6,1,176,15,,2022-11-17,0.2464829548448285
53707835,Cheerful 2- bedroom near LGA,242322561,Rosy,Queens,East Elmhurst,40.763420000000004,-73.86774,Private room,60,1,87,2023-03-04,5.79,13,255,77,,2023-03-04,0.12218768112123926
53775148,Private room in Williamsburg with backyard access,546370,Katya,Brooklyn,Williamsburg,40.71332931518555,-73.96277618408203,Private room,79,2,18,2023-02-24,1.25,25,217,16,,2023-02-24,0.22024342694557142
53747638,Contemporary private Two bedroom unit,423451497,Jerome,Queens,Rosedale,40.65457,-73.74728,Entire home/apt,119,2,41,2023-02-21,2.82,4,180,33,,2023-02-21,0.44017071500079036
53708171,"Private room, 2 queen beds/bath; adults only",175728949,Emilio,Manhattan,Harlem,40.8248,-73.94698,Private room,195,2,9,2022-11-14,0.6,2,51,7,,2022-11-14,0.7263817903999157
53775734,Cozy private room rental unit in Bedstuy Brooklyn,309568446,Eyerusalem,Brooklyn,Bedford-Stuyvesant,40.69326,-73.93314,Private room,70,1,8,2022-12-05,1.21,1,90,8,,2022-12-05,0.17856578323410086
53709151,New Townhouse Apt In The Heart Of Manhattan,403652094,Mehmet,Manhattan,Kips Bay,40.7432,-73.97946,Entire home/apt,457,3,10,2023-02-09,0.82,1,31,8,,2023-02-09,0.9616945044522893
53751580,Beautiful Penthouse Suite with skyline views!,435341575,Lana,Brooklyn,Vinegar Hill,40.70199,-73.98366,Entire home/apt,414,1,194,2023-02-26,12.93,3,208,158,,2023-02-26,0.9546867590494758
53709233,Modern Private Suite & Bath - 8 mins to Manhattan!,235200338,Amro,Brooklyn,Williamsburg,40.71284,-73.93695,Private room,66,1,64,2023-02-04,4.27,3,186,55,,2023-02-04,0.15295853311554877
53709387,"Maison 503 
Stylish and modern apt. in Bed-Stuy",53887408,Monica,Brooklyn,Bedford-Stuyvesant,40.68829,-73.93721,Entire home/apt,152,3,11,2022-12-31,2.16,1,189,11,,2022-12-31,0.6016123083407977
